game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,Master the art of combat with iconic characters and dynamic battles in this latest installment of the legendary fighting game franchise.,Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,Shooter,"In a grim 19th-century world, hunt monstrous creatures for bounty while battling other players in this tense, PvPvE extraction shooter.",Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,RPG,"Explore a vibrant open world, engage in fast-paced combat, and unravel a compelling story in this action RPG filled with echoes of a past calamity.",Both
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulation,Experience realistic military operations in this authentic Cold War setting. Battle across vast terrains in a dynamic sandbox of tactical gameplay.,Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Horror,"Scavenge abandoned moons for scrap, facing terrifying creatures and corporate quotas with your friends in this co-op survival horror game.",Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,Shooter,"A hyper-realistic tactical FPS where players raid a war-torn Dark Zone to acquire loot, battling enemies and other players in pursuit of riches and survival.",Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,RPG,"Explore the post-apocalyptic metropolis of New Eridu, battling surreal monsters as a Proxy, guiding others through dangerous ""Hollows"" in stylish action combat.",Both
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Adventure,"Survive a prehistoric world filled with dinosaurs, craft tools and structures, and uncover the mysteries of the ARK in this graphically-enhanced remake.",Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"Lead a civilization from its humble beginnings to become a global superpower through diplomacy, war, technological advancement, and cultural influence.",Singleplayer
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,"Gods from various pantheons clash in strategic, team-based combat within a 3D arena, utilizing unique abilities and tactics to conquer the enemy base.",Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"Explore a vast open world, battle colossal bosses, and engage in dynamic, class-based combat in this next-gen MMORPG.",Both
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Survival,"As a Flameborn, survive a corrupted world, craft powerful gear, battle monstrous creatures, and build your base to reclaim your kingdom.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,"Explore an abandoned toy factory, solve puzzles, and evade the terrifying, monstrous toys that lurk within in this episodic horror game.",Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Platformer,"Embark on a whimsical adventure as a divorced couple transformed into dolls, forced to cooperate to mend their broken relationship.",Both
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Hack-and-Slash,"Experience intense, large-scale battles as a lone warrior against hordes of enemies in this action-packed historical war epic.",Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"Experience the thrill of professional hockey with realistic gameplay, enhanced graphics, and new features that bring the intensity of the NHL to your screen.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Puzzle,"A roguelike deckbuilder where you play poker with special cards, changing the rules of the game with each hand to create wild and powerful synergies.",Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Puzzle,Guide a young girl and her cat through mind-bending Escher-esque environments. Solve perspective-based puzzles to overcome obstacles and find the exit.,Singleplayer
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,"Embark on a grand fantasy adventure where you command different ""Archetypes"" to fight fate and unlock new powers in a world teetering on the brink.",Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,"Step into the shoes of the legendary archeologist, Indiana Jones, in a globe-trotting adventure to unravel a conspiracy connected to an ancient mystery.",Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,Shooter,"A brutal World War II first-person shooter emphasizing teamwork, communication, and realistic combat across large-scale maps.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,"Explore Princess Peach's castle and its many worlds in this groundbreaking 3D platformer, collecting stars to rescue her from Bowser.",Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,Shooter,"Explore the radioactive Chornobyl Exclusion Zone, battling mutated creatures and uncovering dark secrets in this atmospheric survival FPS.",Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Shooter,"A dynamic MMOFPS set in the Chernobyl Exclusion Zone, blending intense PvP combat with open-world exploration and questing.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"Manage and expand your supermarket with friends, stocking shelves, serving customers, and optimizing your store's layout.",Both
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,MMORPG,"Explore a vibrant fantasy world, customize your character, and battle monsters in this sequel to the classic MMORPG.",Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Horror,"Team up to survive terrifying trials and experiments in a chilling Cold War setting, testing your sanity and resilience.",Multiplayer
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,"Navigate a near-future Detroit as an android, making choices that determine the story and the fate of humanity.",Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Sports,Step into the Octagon and experience realistic MMA combat with stunning visuals and a deep roster of fighters.,Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"Build your home, craft items, and forge friendships in a cozy, massively multiplayer online world.",Multiplayer
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"A realistic survival simulator set in the Amazon rainforest, where players must manage their health, build shelter, and craft tools to survive against the elements and dangers of the jungle.",Singleplayer
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"Experience the thrill of aviation with realistic flight physics, stunning visuals, and a wide variety of aircraft and locations in this immersive flight simulator.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,"An auto-battler where players strategically build a team of champions, upgrade them, and position them on a board to outmaneuver opponents in automated battles.",Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Adventure,"Explore a vast, procedurally generated universe, discover unique planets and creatures, build bases, and engage in space combat in this open-world exploration and survival game.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"Manage your own farm, cultivate crops, raise livestock, and expand your agricultural empire with realistic machinery and diverse environments.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,Shooter,"Agents fight to liberate Washington D.C. from warring factions in this cover-based, loot-driven, post-apocalyptic open-world shooter.",Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Iconic video game characters clash in chaotic, over-the-top battles across a variety of stages in this ultimate crossover fighting game.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Horror,"Survive a zombie-infested city using parkour skills, crafting weapons, and scavenging resources during the day, while facing terrifying Volatiles at night.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Strategy,Command a team of resistance fighters in Occupied France. Use stealth and sabotage to weaken the Nazi war machine and fight for freedom.,Singleplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Explore a supernatural 17th-century island, forge alliances, conquer territories, and battle monstrous creatures in this open-world MMORPG.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Explore a vibrant island, befriend Sanrio characters, and restore an abandoned theme park in this cozy, open-world adventure.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Adventure,"As a news curator in a struggling nation, shape public opinion and face the consequences of your choices in this narrative-driven adventure.",Singleplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Simulation,Manage a fleet of Soviet-era tanks across diverse landscapes in this historically-inspired simulation game.,Singleplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,Descend into the depths of Isaac's nightmare in this challenging roguelike shooter filled with grotesque monsters and bizarre power-ups.,Both
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Shooter,"Scavenge, craft, and fight to survive in a post-apocalyptic USA ravaged by extreme weather in this tactical open-world extraction shooter.",Both
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Adventure,"Explore the vast state of San Andreas, rise through gang ranks, and unravel a web of crime in this open-world classic.",Singleplayer
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Adventure,"Embark on a magical journey with Nikki, collecting stylish outfits and exploring fantastical open worlds powered by unique dressing-up abilities.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Vault Hunters unite! Blast through a chaotic world filled with loot, mayhem, and bizarre enemies in this cooperative shooter adventure.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Join a medieval fantasy world where nations clash in epic battles, forging alliances, and leveling up your character through intense PvP and PvE combat.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Stock shelves, manage finances, and keep customers happy as you build your own thriving supermarket empire from the ground up.",Singleplayer
